OBJECTID,LOI
A1650EQ,38.00
A1715EQ,16.10
A1800EQ,12.40
A1830EQ,7.80
A1850EQ,6.30
A2304EC,9.30
A2355EDA2425WC,7.2
A2435EC,9.70
A2498WC,7.80
A2594WC,6.80
A2692ECA,6.20
A2720WC,4.20
A2737EA,7.40
A2765EA,6.40
A2768ED,0.40
A2800WC,4.60
A2900WC,16.70
A3050WC,4.00
A3075WDA3170WC,3.7
C185EQfC1853EGf,10.95
C185EQff,7.40
C1865EQG,10.10
C1890EQf,7.30
C1923EQC1920EQ,5.15
C1925EQG,6.40
C1929EQ,15.80
C1935EQ,5.40
C1972EGC1970EGf,7.85
C2070EG,7.80
C2188ECG,5.80
C2190ECG,8.30
C2252ECG,9.20
C2324ECG,6.80
C2326EGC,9.00
C2354EGCC2339ECG,8.55
C2399ECGC2387ECG,9.8
C2421WCG,4.60
C2478ECG,9.80
C2485ECG,6.20
C2489WCG,6.80
C2540ED,3.60
C2583ECG,11.20
C2591WCG,10.90
C2624EC,6.80
C2671EC,6.00
C2672EA,4.00
C2677EA,9.90
C2678EA,5.60
C2700WGC,16.70
C2725EA,3.60
E2420ED,1.20
E2480WCG,4.20
E2483ED,7.00
E2578WC,4.20
E2695WC,4.40
E2709EA,4.50
E2734ED,5.00
E2748EAC,9.40
